HitTime,HitLocalTime,HitX,HitY,Arc,OriginX,OriginY,Made,HitBackboard,TimeInSeconds,ShotDistance,ShotAngle,ClusterID
1627486772885,2021-07-28 18:39:32,-129.0,-111.0,44.6,6959,-681,0,0,67172,7110.882083117396,-4.597695440906989,4
1627486776391,2021-07-28 18:39:36,-309.0,-170.0,43.6,6641,8,0,0,67176,6952.279050786152,1.4671107478780243,4
1627486779872,2021-07-28 18:39:39,-134.0,20.0,41.0,6510,382,1,1,67179,6653.85452200452,3.1186912083305742,4
1627486783214,2021-07-28 18:39:43,196.0,27.0,43.8,6723,888,0,1,67183,6583.543878489761,7.514704113322352,4
1627486786811,2021-07-28 18:39:46,-15.0,37.0,43.0,6470,589,1,1,67186,6508.4505836642875,4.865260955280007,4
1627486790140,2021-07-28 18:39:50,85.0,167.0,37.8,7110,930,0,1,67190,7066.314032082073,6.19871655110893,4
1627486793544,2021-07-28 18:39:53,9.0,139.0,39.2,6991,560,1,1,67193,6994.681193592743,3.4506377544820737,4
1627486801513,2021-07-28 18:40:01,-3.0,14.0,43.3,6789,490,1,1,67201,6808.659192528291,4.008873912452145,4
1627486820016,2021-07-28 18:40:20,180.0,134.0,35.3,201,4411,0,0,67220,4277.051554517434,89.71868092098845,4
1627486825887,2021-07-28 18:40:25,-70.0,178.0,40.3,-79,4598,0,0,67225,4420.00916288643,-89.88333454684248,4
1627486834410,2021-07-28 18:40:34,11.0,93.0,37.6,49,4238,1,0,67234,4145.174182106223,89.47474580739971,4
1627486840966,2021-07-28 18:40:40,-18.0,-94.0,38.6,46,4246,1,0,67240,4340.471863749378,89.15514651628754,4
1627486846551,2021-07-28 18:40:46,4.0,4.0,38.7,-24,4602,1,0,67246,4598.085253668096,-89.65109569462143,4
1627486851998,2021-07-28 18:40:51,-88.0,16.0,37.2,216,4617,1,0,67251,4611.032097047254,86.2198138064301,4
1627486950043,2021-07-28 18:42:30,-122.0,175.0,41.8,-6225,3434,0,0,67350,6918.647989311206,-28.1022023871647,5
1627486960083,2021-07-28 18:42:40,82.0,-147.0,38.1,-6089,3756,0,0,67360,7301.688160966613,-32.312308580218655,5
1627486969994,2021-07-28 18:42:49,-44.0,94.0,39.0,-6047,4078,1,0,67369,7204.739065365241,-33.570963409372496,5
1627486979238,2021-07-28 18:42:59,104.0,-59.0,40.6,-5975,3654,1,0,67379,7123.244345100061,-31.4162201768011,5
1627486988111,2021-07-28 18:43:08,258.0,-36.0,36.6,-6074,3568,0,0,67388,7285.810867707177,-29.647340057307975,5
1627486997375,2021-07-28 18:43:17,3.0,-8.0,34.3,-5679,3922,1,0,67397,6908.69191670898,-34.66997687482382,5
1627487006551,2021-07-28 18:43:26,128.0,-323.0,37.1,-2568,6619,0,0,67406,7447.132333992729,-68.77578646092886,5
