HitTime,HitLocalTime,HitX,HitY,Arc,OriginX,OriginY,Made,HitBackboard,TimeInSeconds,ShotDistance,ShotAngle,Corner_Right,Wing_Right,TOP,Wing_Left,Corner_Left,ClusterID,Norm_ShotDistance,Norm_ShotAngle,Norm_TimeInSeconds,Norm_HitX,Norm_HitY,Norm_OriginX,Norm_OriginY
1627575840997,2021-07-29 19:24:00,53.0,111.0,39.6,-5877,291,1,1,69840,5932.731242859397,-1.7386297831624882,0,0,1,0,0,7,0.29734438382912937,-0.24856299513788974,2.0154826838675888,0.6039377635620562,0.8481940962371382,-1.512817596898267,-1.765446054611573
1627575844009,2021-07-29 19:24:04,-1.0,-22.0,42.0,-5989,435,1,1,69844,6005.41364104089,-4.364313695710213,0,0,1,0,0,7,0.3566144374734622,-0.29361396544890705,2.015720817619225,0.050618717664881,-0.43299271582967136,-1.5418276896166576,-1.6917978711242714
1627575847241,2021-07-29 19:24:07,147.0,-2.0,40.3,-5984,121,1,0,69847,6132.233687654116,-1.1493126120689765,0,0,1,0,0,7,0.4600319244305258,-0.23845160653858746,2.0158994179329524,1.5671227693830647,-0.24033304484218124,-1.5405325961917296,-1.8523918267840818
1627575850239,2021-07-29 19:24:10,55.0,-98.0,40.7,-5997,97,1,0,69850,6055.140708521974,-1.8454747201608097,0,0,1,0,0,7,0.3971651902130669,-0.25039621964050074,2.0160780182466795,0.6244310615582479,-1.1650994655821338,-1.5438998390965426,-1.8646665240319653
1627575853879,2021-07-29 19:24:13,-78.0,-94.0,42.5,-5877,345,0,1,69853,5815.593005016772,-4.329188182408161,0,0,1,0,0,7,0.20182208662316264,-0.2930112887712735,2.0162566185604067,-0.7383732551884985,-1.126567531384636,-1.512817596898267,-1.7378279858038348
1627575858170,2021-07-29 19:24:18,95.0,38.0,41.7,-5863,12,1,0,69858,5958.056730176375,0.2500303476277266,0,0,1,0,0,7,0.31799646781923036,-0.2144419541082394,2.016554285749952,1.0342970214820815,0.14498629713279906,-1.509191335308468,-1.9081394101182196
1627575861468,2021-07-29 19:24:21,-46.0,-9.0,42.9,-5547,62,1,0,69861,5501.458170339933,-0.7394609125645197,0,0,1,0,0,7,-0.05434431636697282,-0.23141945135111128,2.016732886063679,-0.41048048724943165,-0.30776392968780275,-1.4273414308530088,-1.8825671241851287
1627575865954,2021-07-29 19:24:25,-22.0,-31.0,44.8,-5715,22,1,0,69865,5693.246701136356,-0.5333898803900111,0,0,1,0,0,7,0.10205278655039078,-0.2278837249416645,2.0169710198153155,-0.16456091129513156,-0.519689567774042,-1.4708565699305947,-1.9030249529316015
1627575873355,2021-07-29 19:24:33,109.0,55.0,43.7,-4499,3979,1,0,69873,6052.391262963755,-40.416470190882976,0,1,0,0,0,7,0.3949231097395952,-0.9121898054997444,2.017447287318588,1.177750107455423,0.3087470174721657,-1.1558898489880676,0.12076575581320456
1627575876427,2021-07-29 19:24:36,178.0,-183.0,40.7,-4512,4348,0,0,69876,6521.200886339877,-44.012132500840934,0,1,0,0,0,7,0.7772216059600642,-0.9738834751757647,2.017625887632315,1.8847688883240357,-1.983903067278967,-1.1592570918928806,0.3094892259994147
1627575879947,2021-07-29 19:24:39,73.0,46.0,40.5,-4273,4087,1,0,69879,5934.42474044452,-42.91731067523829,0,1,0,0,0,7,0.2987253742095806,-0.9550987367213859,2.017804487946042,0.8088707435239729,0.22205016552779513,-1.097351626181315,0.1760018934286807
1627575883267,2021-07-29 19:24:43,87.0,-84.0,42.1,-4667,4295,1,0,69883,6463.447764158073,-42.648762176569555,0,1,0,0,0,7,0.7301258752812876,-0.9504910341785257,2.0180426216976786,0.9523238294973146,-1.0302376958908908,-1.1994049880656534,0.28238260291033845
1627575886584,2021-07-29 19:24:46,-206.0,-33.0,42.1,-4766,4476,0,0,69886,6412.852797312597,-44.677797557311116,0,1,0,0,0,7,0.6888673797707726,-0.9853048258390367,2.0182212220114057,-2.049944326944766,-0.5389555348727909,-1.2250478378792309,0.37495427798812714
