HitTime,HitLocalTime,HitX,HitY,Arc,OriginX,OriginY,Made,HitBackboard
1627575687851,Thu Jul 29 2021 19:21:27 GMT+0300 (Israel Daylight Time),42.0,24.0,38.9,5257,316,TRUE,TRUE
1627575691164,Thu Jul 29 2021 19:21:31 GMT+0300 (Israel Daylight Time),-10.0,24.0,39.2,5327,265,TRUE,TRUE
1627575694268,Thu Jul 29 2021 19:21:34 GMT+0300 (Israel Daylight Time),-126.0,-76.0,37.7,5221,129,TRUE,FALSE
1627575710697,Thu Jul 29 2021 19:21:50 GMT+0300 (Israel Daylight Time),83.0,22.0,46.9,23,4282,TRUE,FALSE
1627575718327,Thu Jul 29 2021 19:21:58 GMT+0300 (Israel Daylight Time),-17.0,62.0,44.9,102,4378,TRUE,FALSE
1627575725984,Thu Jul 29 2021 19:22:05 GMT+0300 (Israel Daylight Time),-84.0,-40.0,47.5,-34,4442,TRUE,FALSE
1627575733496,Thu Jul 29 2021 19:22:13 GMT+0300 (Israel Daylight Time),-28.0,53.0,44.2,-99,4439,TRUE,FALSE
1627575741728,Thu Jul 29 2021 19:22:21 GMT+0300 (Israel Daylight Time),-56.0,52.0,47.1,23,4477,TRUE,FALSE
1627575750608,Thu Jul 29 2021 19:22:30 GMT+0300 (Israel Daylight Time),-16.0,44.0,46.1,30,4288,TRUE,FALSE
1627575758715,Thu Jul 29 2021 19:22:38 GMT+0300 (Israel Daylight Time),-17.0,-57.0,46.0,44,4570,TRUE,FALSE
1627575766102,Thu Jul 29 2021 19:22:46 GMT+0300 (Israel Daylight Time),18.0,143.0,48.4,-34,4500,TRUE,FALSE
1627575773371,Thu Jul 29 2021 19:22:53 GMT+0300 (Israel Daylight Time),32.0,26.0,47.2,-115,4682,TRUE,FALSE
1627575781156,Thu Jul 29 2021 19:23:01 GMT+0300 (Israel Daylight Time),56.0,-56.0,48.1,-16,4431,TRUE,FALSE
1627575788492,Thu Jul 29 2021 19:23:08 GMT+0300 (Israel Daylight Time),-4.0,14.0,45.1,67,4475,TRUE,FALSE
1627575826894,Thu Jul 29 2021 19:23:46 GMT+0300 (Israel Daylight Time),-168.0,34.0,41.6,-5748,323,FALSE,TRUE
1627575831355,Thu Jul 29 2021 19:23:51 GMT+0300 (Israel Daylight Time),-72.0,-30.0,43.0,-5864,41,TRUE,FALSE
1627575834668,Thu Jul 29 2021 19:23:54 GMT+0300 (Israel Daylight Time),38.0,115.0,40.0,-6052,8,TRUE,FALSE
1627575837954,Thu Jul 29 2021 19:23:57 GMT+0300 (Israel Daylight Time),22.0,-66.0,41.7,-5951,241,TRUE,TRUE
1627575840997,Thu Jul 29 2021 19:24:00 GMT+0300 (Israel Daylight Time),53.0,111.0,39.6,-5877,291,TRUE,TRUE
1627575844009,Thu Jul 29 2021 19:24:04 GMT+0300 (Israel Daylight Time),-1.0,-22.0,42.0,-5989,435,TRUE,TRUE
1627575847241,Thu Jul 29 2021 19:24:07 GMT+0300 (Israel Daylight Time),147.0,-2.0,40.3,-5984,121,TRUE,FALSE
1627575850239,Thu Jul 29 2021 19:24:10 GMT+0300 (Israel Daylight Time),55.0,-98.0,40.7,-5997,97,TRUE,FALSE
1627575853879,Thu Jul 29 2021 19:24:13 GMT+0300 (Israel Daylight Time),-78.0,-94.0,42.5,-5877,345,FALSE,TRUE
1627575858170,Thu Jul 29 2021 19:24:18 GMT+0300 (Israel Daylight Time),95.0,38.0,41.7,-5863,12,TRUE,FALSE
1627575861468,Thu Jul 29 2021 19:24:21 GMT+0300 (Israel Daylight Time),-46.0,-9.0,42.9,-5547,62,TRUE,FALSE
1627575865954,Thu Jul 29 2021 19:24:25 GMT+0300 (Israel Daylight Time),-22.0,-31.0,44.8,-5715,22,TRUE,FALSE
1627575873355,Thu Jul 29 2021 19:24:33 GMT+0300 (Israel Daylight Time),109.0,55.0,43.7,-4499,3979,TRUE,FALSE
1627575876427,Thu Jul 29 2021 19:24:36 GMT+0300 (Israel Daylight Time),178.0,-183.0,40.7,-4512,4348,FALSE,FALSE
1627575879947,Thu Jul 29 2021 19:24:39 GMT+0300 (Israel Daylight Time),73.0,46.0,40.5,-4273,4087,TRUE,FALSE
1627575883267,Thu Jul 29 2021 19:24:43 GMT+0300 (Israel Daylight Time),87.0,-84.0,42.1,-4667,4295,TRUE,FALSE
1627575886584,Thu Jul 29 2021 19:24:46 GMT+0300 (Israel Daylight Time),-206.0,-33.0,42.1,-4766,4476,FALSE,FALSE
1627575889976,Thu Jul 29 2021 19:24:49 GMT+0300 (Israel Daylight Time),188.0,-42.0,41.3,-4434,4183,FALSE,FALSE
1627575893514,Thu Jul 29 2021 19:24:53 GMT+0300 (Israel Daylight Time),-7.0,11.0,38.5,-4264,4413,TRUE,FALSE
1627575896696,Thu Jul 29 2021 19:24:56 GMT+0300 (Israel Daylight Time),21.0,-48.0,41.4,-4430,4341,TRUE,FALSE
1627575899967,Thu Jul 29 2021 19:24:59 GMT+0300 (Israel Daylight Time),5.0,30.0,40.9,-4367,4354,TRUE,FALSE
1627575903376,Thu Jul 29 2021 19:25:03 GMT+0300 (Israel Daylight Time),62.0,-98.0,41.0,-4241,4025,TRUE,FALSE
1627575906704,Thu Jul 29 2021 19:25:06 GMT+0300 (Israel Daylight Time),59.0,98.0,42.0,-4129,3766,FALSE,FALSE
1627575909875,Thu Jul 29 2021 19:25:09 GMT+0300 (Israel Daylight Time),105.0,11.0,38.8,-4536,4406,TRUE,FALSE
1627575913207,Thu Jul 29 2021 19:25:13 GMT+0300 (Israel Daylight Time),-21.0,-54.0,39.5,-4434,4320,TRUE,FALSE
1627575916660,Thu Jul 29 2021 19:25:16 GMT+0300 (Israel Daylight Time),137.0,-29.0,40.2,-4541,4670,TRUE,FALSE
1627575935569,Thu Jul 29 2021 19:25:35 GMT+0300 (Israel Daylight Time),1.0,-113.0,43.5,138,6417,TRUE,FALSE
1627575938833,Thu Jul 29 2021 19:25:38 GMT+0300 (Israel Daylight Time),100.0,15.0,41.1,123,6237,TRUE,FALSE
1627575943323,Thu Jul 29 2021 19:25:43 GMT+0300 (Israel Daylight Time),148.0,-114.0,44.6,390,5614,FALSE,FALSE
1627575952579,Thu Jul 29 2021 19:25:52 GMT+0300 (Israel Daylight Time),-88.0,-24.0,43.3,99,6164,TRUE,FALSE
1627575955755,Thu Jul 29 2021 19:25:55 GMT+0300 (Israel Daylight Time),85.0,-34.0,39.0,226,6256,TRUE,FALSE
1627575958889,Thu Jul 29 2021 19:25:58 GMT+0300 (Israel Daylight Time),90.0,-53.0,43.5,180,6346,TRUE,FALSE
1627575962183,Thu Jul 29 2021 19:26:02 GMT+0300 (Israel Daylight Time),72.0,47.0,41.9,196,6094,TRUE,FALSE
1627575965265,Thu Jul 29 2021 19:26:05 GMT+0300 (Israel Daylight Time),26.0,-114.0,40.1,211,6328,TRUE,FALSE
1627575968559,Thu Jul 29 2021 19:26:08 GMT+0300 (Israel Daylight Time),-120.0,-39.0,40.3,328,6293,TRUE,FALSE
1627575971793,Thu Jul 29 2021 19:26:11 GMT+0300 (Israel Daylight Time),13.0,37.0,42.3,213,6350,TRUE,FALSE
1627575974968,Thu Jul 29 2021 19:26:14 GMT+0300 (Israel Daylight Time),-120.0,55.0,39.7,56,6277,FALSE,FALSE
1627575978358,Thu Jul 29 2021 19:26:18 GMT+0300 (Israel Daylight Time),-13.0,-120.0,43.7,128,6178,TRUE,FALSE
1627575990183,Thu Jul 29 2021 19:26:30 GMT+0300 (Israel Daylight Time),-48.0,116.0,37.2,4903,4040,FALSE,FALSE
1627575993845,Thu Jul 29 2021 19:26:33 GMT+0300 (Israel Daylight Time),-68.0,-37.0,41.5,4852,4123,TRUE,FALSE
1627575997191,Thu Jul 29 2021 19:26:37 GMT+0300 (Israel Daylight Time),-13.0,-18.0,40.3,4747,4135,TRUE,FALSE
1627576000472,Thu Jul 29 2021 19:26:40 GMT+0300 (Israel Daylight Time),5.0,-17.0,37.5,4814,3923,TRUE,FALSE
1627576003770,Thu Jul 29 2021 19:26:43 GMT+0300 (Israel Daylight Time),68.0,-31.0,38.5,4993,4038,TRUE,FALSE
1627576007029,Thu Jul 29 2021 19:26:47 GMT+0300 (Israel Daylight Time),118.0,62.0,39.9,4993,4079,FALSE,FALSE
1627576010487,Thu Jul 29 2021 19:26:50 GMT+0300 (Israel Daylight Time),65.0,-109.0,39.9,4908,3932,TRUE,FALSE
1627576013607,Thu Jul 29 2021 19:26:53 GMT+0300 (Israel Daylight Time),27.0,-73.0,38.7,4736,3911,TRUE,FALSE
1627576017096,Thu Jul 29 2021 19:26:57 GMT+0300 (Israel Daylight Time),46.0,40.0,39.3,4660,3764,TRUE,FALSE
1627576020356,Thu Jul 29 2021 19:27:00 GMT+0300 (Israel Daylight Time),-130.0,-121.0,41.2,4927,3840,FALSE,FALSE
1627576024042,Thu Jul 29 2021 19:27:04 GMT+0300 (Israel Daylight Time),-115.0,-148.0,40.2,4856,3877,FALSE,FALSE
1627576027484,Thu Jul 29 2021 19:27:07 GMT+0300 (Israel Daylight Time),-100.0,-95.0,38.5,4794,3899,TRUE,FALSE
1627576031099,Thu Jul 29 2021 19:27:11 GMT+0300 (Israel Daylight Time),1.0,-106.0,41.4,4688,3828,TRUE,FALSE
